date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,market,candidate,raw,uniform,gain
2025-07-01,KXHIGHNY-25JUL01,train,6,1.0250000000000001,840,0.055,0.11703351179853261,0.11808274681863241,0.11689583333333331,0.13888888888888892,-0.0010492350200998063
2025-07-02,KXHIGHNY-25JUL02,train,6,0.9299999999999999,300,0.17666666666666667,0.1347265579835819,0.14010204545555272,0.13449166666666665,0.13888888888888892,-0.005375487471970808
2025-07-05,KXHIGHNY-25JUL05,train,6,1.06,120,0.043333333333333335,0.09508870297852144,0.08775621043146242,0.09344166666666666,0.13888888888888892,0.007332492547059019
2025-07-06,KXHIGHNY-25JUL06,train,6,1.025,60,0.055,0.12525877453896492,0.12663310565332733,0.12520416666666664,0.13888888888888892,-0.0013743311143624148
2025-07-07,KXHIGHNY-25JUL07,train,6,1.085,1020,0.03833333333333333,0.15784294987505929,0.16630984795388234,0.1608125,0.13888888888888892,-0.00846689807882306
2025-07-08,KXHIGHNY-25JUL08,train,6,1.075,120,0.041666666666666664,0.12688660537227328,0.1284039707971931,0.1269458333333333,0.13888888888888892,-0.0015173654249198143
2025-07-10,KXHIGHNY-25JUL10,train,6,1.0050000000000001,420,0.041666666666666664,0.15188567939737466,0.1603151721385116,0.15201250000000002,0.13888888888888892,-0.00842949274113694
2025-07-11,KXHIGHNY-25JUL11,train,6,1.035,1020,0.045000000000000005,0.10492660272118369,0.10060934392882487,0.10426250000000002,0.13888888888888892,0.004317258792358822
2025-07-12,KXHIGHNY-25JUL12,train,6,0.9950000000000001,1500,0.04499999999999999,0.10567073222056682,0.10122786924880506,0.10577916666666665,0.13888888888888892,0.00444286297176176
2025-07-13,KXHIGHNY-25JUL13,train,6,1.08,1380,0.04666666666666667,0.11000371513488798,0.10992242209431612,0.10950833333333333,0.13888888888888892,8.129304057186149e-05
2025-07-14,KXHIGHNY-25JUL14,train,6,1.065,780,0.04166666666666666,0.09969362339923737,0.09228516844444208,0.09796250000000001,0.13888888888888892,0.007408454954795293
2025-07-15,KXHIGHNY-25JUL15,train,6,1.0150000000000001,1800,0.03500000000000001,0.09936340766984562,0.09202039664197183,0.09892916666666667,0.13888888888888892,0.007343011027873797
2025-07-16,KXHIGHNY-25JUL16,train,6,1.075,840,0.04499999999999999,0.12256715341626105,0.12335962905864271,0.12232916666666667,0.13888888888888892,-0.0007924756423816626
