date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,mos_forecast,market,candidate,raw,uniform,gain
2025-07-01,KXHIGHMIA-25JUL01,train,6,1.02,600,0.04,91.0,0.10631327694476483,0.15323745848562478,0.10627500000000001,0.13888888888888892,-0.04692418154085995
2025-07-02,KXHIGHMIA-25JUL02,train,6,1.035,660,0.04166666666666668,89.0,0.0894847798859561,0.10285133482932902,0.08859583333333333,0.13888888888888892,-0.013366554943372924
2025-07-03,KXHIGHMIA-25JUL03,train,6,1.07,1380,0.04666666666666666,92.0,0.08497103094884562,0.1404083566800604,0.0827,0.13888888888888892,-0.05543732573121479
2025-07-04,KXHIGHMIA-25JUL04,train,6,1.04,1140,0.043333333333333335,89.0,0.12124013806706112,0.1597992782607868,0.12146666666666665,0.13888888888888892,-0.03855914019372568
2025-07-05,KXHIGHMIA-25JUL05,train,6,1.05,120,0.043333333333333335,92.0,0.08591080876795161,0.1332853626944704,0.08455000000000001,0.13888888888888892,-0.04737455392651878
2025-07-06,KXHIGHMIA-25JUL06,train,6,1.02,60,0.036666666666666674,92.0,0.15876906318082787,0.17878212071672517,0.1597833333333334,0.13888888888888892,-0.0200130575358973
2025-07-13,KXHIGHMIA-25JUL13,train,6,1.085,240,0.024999999999999994,93.0,0.20553986422872997,0.2269724040989047,0.21384583333333332,0.13888888888888892,-0.02143253987017474
2025-07-14,KXHIGHMIA-25JUL14,train,6,1.115,120,0.045000000000000005,90.0,0.21115780865625022,0.09514700391736652,0.22312916666666668,0.13888888888888892,0.1160108047388837
2025-07-15,KXHIGHMIA-25JUL15,train,6,1.0250000000000001,1740,0.028333333333333332,87.0,0.19266309736268095,0.09789197337053192,0.1946875,0.13888888888888892,0.09477112399214903
2025-07-16,KXHIGHMIA-25JUL16,train,6,1.005,780,0.035,90.0,0.13810714256247783,0.11702759632318659,0.1382375,0.13888888888888892,0.021079546239291244
2025-07-17,KXHIGHMIA-25JUL17,train,6,1.045,1140,0.03833333333333334,90.0,0.12047190616820432,0.09128763430906082,0.12094583333333332,0.13888888888888892,0.02918427185914349
2025-07-18,KXHIGHMIA-25JUL18,train,6,1.005,960,0.025000000000000005,93.0,0.08004752357614908,0.09559462876728841,0.07987916666666668,0.13888888888888892,-0.015547105191139332
2025-07-19,KXHIGHMIA-25JUL19,train,6,1.0150000000000001,240,0.024999999999999994,93.0,0.1337895443551975,0.1715091922905904,0.13422083333333332,0.13888888888888892,-0.0377196479353929
